City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Iquitos,PE,78.84,few clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
543,Mangrol,IN,79.34,clear sky,21.1167,70.1167,Hotel The Royal Honours
544,Lamar,US,76.35,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
548,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
549,Ocumare Del Tuy,VE,76.66,overcast clouds,10.1165,-66.7761,HOSTAL EDDYS
550,Omboue,GA,77.22,overcast clouds,-1.5746,9.2618,Hotel Olako
552,Gustavo Diaz Ordaz,MX,86.25,overcast clouds,26.2333,-98.5833,Chikas En El Hotel
555,Samarai,PG,83.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
558,Gaoual,GN,80.22,clear sky,11.75,-13.2,Hotel koliba
560,Veraval,IN,79.39,clear sky,20.9,70.3667,Lords Inn Somnath
562,Santarem,BR,77.13,scattered clouds,-2.4431,-54.7083,Hotel Imperador
564,Tarabha,IN,84.81,overcast clouds,20.7333,83.65,Saroj Kumbhar Residence
567,Mattru,SL,76.78,scattered clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
569,Wamba,NG,76.93,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
577,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
580,Bougouni,ML,83.95,broken clouds,11.417,-7.479,Non Stop
582,Cap Malheureux,MU,76.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
584,Sao Jose Do Belmonte,BR,77.43,broken clouds,-7.8614,-38.7597,Pousada Pedra do Reino
589,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
590,Mecca,SA,81.12,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
591,Maracaibo,VE,81.79,few clouds,10.6317,-71.6406,Motel Aladdin
592,Salinopolis,BR,78.58,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
