City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Saint-Pierre,RE,-21.3393,55.4781,76.91,78,0,9.22,clear sky
154,Liverpool,GB,53.4106,-2.9779,53.29,88,53,3.44,haze
155,Cabo San Lucas,MX,22.8909,-109.9124,84.61,49,84,9.62,broken clouds
156,Kavieng,PG,-2.5744,150.7967,84.27,72,54,9.93,broken clouds
157,Yerbogachen,RU,61.2767,108.0108,23.72,82,100,3.0,overcast clouds
158,Lata,PT,40.1629,-8.3327,52.57,88,100,1.77,overcast clouds
159,Arraial Do Cabo,BR,-22.9661,-42.0278,73.38,65,1,21.56,clear sky
160,Guymon,US,36.6828,-101.4816,75.2,17,0,19.57,clear sky
161,Shubarshi,KZ,48.5872,57.1869,45.43,68,35,6.78,scattered clouds
162,Santona,ES,43.4439,-3.4576,55.33,88,0,3.36,clear sky
163,Papetoai,PF,-17.4961,-149.8729,85.59,69,4,17.43,clear sky
164,Kodiak,US,57.79,-152.4072,38.71,87,100,18.41,light rain
165,Krasnoarmeysk,RU,51.0239,45.6969,43.45,71,67,5.53,broken clouds
166,Jalu,LY,29.0331,21.5482,77.11,14,72,28.48,broken clouds
167,Kapaa,US,22.0752,-159.319,82.38,70,20,18.41,few clouds
168,Georgetown,MY,5.4112,100.3354,78.73,94,20,0.0,few clouds
169,Dabat,ET,12.9842,37.765,62.2,47,91,2.62,overcast clouds
170,San Jose,US,37.3394,-121.895,72.0,48,40,20.71,scattered clouds
171,Kutum,SD,14.2,24.6667,71.62,10,72,6.53,broken clouds
172,Khandbari,NP,27.3747,87.2039,66.76,37,3,5.37,clear sky
173,Sonepur,IN,20.8333,83.9167,85.86,40,92,4.83,overcast clouds
174,Tessalit,ML,20.1986,1.0114,73.71,15,0,11.88,clear sky
175,Fereydun Kenar,IR,36.6864,52.5225,53.17,76,3,11.14,clear sky
176,Lubana,LV,56.9,26.7167,34.88,83,88,9.13,overcast clouds
177,Dongsheng,CN,39.8161,109.9776,41.97,52,40,6.82,scattered clouds
178,Sur,OM,22.5667,59.5289,89.1,34,9,12.59,clear sky
179,Alta Floresta,BR,-9.8756,-56.0861,72.52,94,48,2.37,scattered clouds
180,Castro,BR,-24.7911,-50.0119,51.44,59,0,2.13,clear sky
181,Nanortalik,GL,60.1432,-45.2371,26.26,79,77,11.07,broken clouds
182,Bambous Virieux,MU,-20.3428,57.7575,76.21,82,63,20.67,light rain
183,Ponta Do Sol,PT,32.6667,-17.1,65.71,60,100,3.51,overcast clouds
184,Adrar,MR,20.5022,-10.0711,80.35,13,27,7.78,scattered clouds
185,Viedma,AR,-40.8135,-62.9967,64.96,45,0,15.95,clear sky
186,Egvekinot,RU,66.3167,-179.1667,18.16,84,88,15.59,overcast clouds
187,Margate,GB,51.3813,1.3862,50.31,88,49,1.01,scattered clouds
188,Talnakh,RU,69.4865,88.3972,22.57,95,92,9.35,overcast clouds
189,Khatanga,RU,71.9667,102.5,18.91,85,100,10.31,overcast clouds
190,Maneromango,TZ,-7.1988,38.7848,70.57,99,100,3.49,light rain
191,Imbituba,BR,-28.24,-48.6703,64.81,81,17,10.29,few clouds
192,Bathsheba,BB,13.2167,-59.5167,79.41,78,20,19.57,few clouds
193,Ossora,RU,59.2353,163.0719,28.76,67,39,4.25,scattered clouds
194,Isiro,CD,2.7739,27.616,66.22,94,100,0.87,overcast clouds
195,Mehamn,NO,71.0357,27.8492,36.05,95,100,21.43,overcast clouds
196,Inhambane,MZ,-23.865,35.3833,77.76,93,91,10.2,overcast clouds
197,Namibe,AO,-15.1961,12.1522,71.17,78,77,3.91,broken clouds
198,Nome,US,64.5011,-165.4064,35.67,70,100,26.46,overcast clouds
199,Pucallpa,PE,-8.3791,-74.5539,73.44,88,75,6.91,broken clouds
200,Faanui,PF,-16.4833,-151.75,82.35,68,7,15.99,clear sky
201,Chipinge,ZW,-20.1883,32.6236,64.87,93,89,3.87,overcast clouds
202,Chuy,UY,-33.6971,-53.4616,60.53,72,46,7.23,scattered clouds
203,Rio Grande,BR,-32.035,-52.0986,64.69,64,72,10.96,broken clouds
204,Camacha,PT,33.0833,-16.3333,58.42,88,40,12.66,scattered clouds
205,Saldanha,ZA,-33.0117,17.9442,55.36,61,5,15.73,clear sky
206,Sivaki,RU,52.6333,126.75,32.09,59,77,14.05,broken clouds
207,Langxiang,CN,46.95,128.8833,45.64,40,63,7.47,broken clouds
208,Lorengau,PG,-2.0226,147.2712,85.12,68,46,4.99,scattered clouds
209,Port Macquarie,AU,-31.4333,152.9167,71.89,65,74,6.11,broken clouds
210,Tuktoyaktuk,CA,69.4541,-133.0374,1.78,87,90,2.71,overcast clouds
211,Godinesti,RO,45.0,22.9667,53.01,61,85,3.69,overcast clouds
212,Roma,US,43.2128,-75.4557,54.88,62,100,5.75,overcast clouds
213,Jefferson City,US,38.5767,-92.1735,60.71,59,0,9.22,clear sky
214,Victoria,HK,22.2855,114.1577,72.32,79,98,23.0,overcast clouds
215,Sitka,US,57.0531,-135.33,46.29,57,0,17.27,clear sky
216,Antsohihy,MG,-14.8796,47.9875,77.65,71,2,8.93,clear sky
217,Klaksvik,FO,62.2266,-6.589,47.32,98,100,14.05,overcast clouds
218,Usmajac,MX,19.8667,-103.5667,86.86,19,100,5.84,overcast clouds
219,Naze,JP,28.3667,129.4833,65.32,63,98,20.11,overcast clouds
220,Saint-Francois,FR,46.4154,3.9054,50.68,87,0,2.3,clear sky
221,Sao Filipe,CV,14.8961,-24.4956,70.83,77,3,8.14,clear sky
222,Torbay,CA,47.6666,-52.7314,34.75,78,24,10.58,few clouds
223,Dubrovka,RU,53.6907,33.5071,43.57,97,100,11.32,light rain
224,Zarubino,RU,42.63,131.0922,45.77,50,2,8.21,clear sky
225,Itarema,BR,-2.9248,-39.9167,78.42,83,70,5.39,broken clouds
226,Collie,AU,-33.3667,116.15,58.15,78,25,3.24,scattered clouds
227,Siverek,TR,37.755,39.3167,47.68,55,19,3.51,few clouds
228,Hailar,CN,49.2,119.7,38.57,30,44,14.9,scattered clouds
229,Kruisfontein,ZA,-34.0033,24.7314,52.88,76,100,4.47,light rain
230,Nouadhibou,MR,20.931,-17.0347,63.54,91,0,16.64,clear sky
231,Codrington,AU,-38.2667,141.9667,67.44,67,32,3.74,scattered clouds
232,Ornskoldsvik,SE,63.2909,18.7153,25.75,100,100,1.14,overcast clouds
233,Tautira,PF,-17.7333,-149.15,80.85,73,14,14.7,few clouds
234,Sosnovo-Ozerskoye,RU,52.5249,111.5418,35.04,74,100,11.5,overcast clouds
235,Qui Nhon,VN,13.7667,109.2333,78.82,89,24,1.14,few clouds
236,Dosso,NE,13.049,3.1937,83.98,51,98,12.03,overcast clouds
237,Cabedelo,BR,-6.9811,-34.8339,81.27,81,8,9.57,clear sky
238,Richards Bay,ZA,-28.783,32.0377,68.07,87,100,16.02,light rain
239,Puerto Escondido,MX,15.85,-97.0667,85.03,70,40,9.22,scattered clouds
240,Hamilton,US,39.1834,-84.5333,66.15,30,40,10.36,scattered clouds
241,Surgut,RU,61.25,73.4167,48.38,46,100,6.71,haze
